doc_id,doc_number,source,source_kind,title,date,date_display,place,summit_phase,session,principals,venue,persons,topics,verified,url,case_number,doctype,classification
frus1981-88v06-d11,11,FRUS 1981-1988 v06,historical-document,Memorandum From the President’s Assistant for National Security Affairs (Carlucci) to Secretary of State Shultz,1987-01-10,"January 10, 1987",Washington,aftermath,,,,Carlucci; George P. Shultz; Regan; Lawrence Horowitz; Yuli Vorontsov; John Whitehead; Dobrynin; Max Kampelman; Perle; Paul H. Nitze; Shevardnadze; Mike Armacost,,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d11,,,
frus1981-88v06-d12,12,FRUS 1981-1988 v06,historical-document,Telegram From the Department of State to the Secretary’s Delegation,1987-01-13,"January 13, 1987, 0116Z",Washington,aftermath,,,,Parris; Platt; Ridgway; George P. Shultz; Dubinin; Vorontsov; Kampelman; Armacost,,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d12,,,
frus1981-88v06-d13,13,FRUS 1981-1988 v06,historical-document,Memorandum From Vice President Bush to the President’s Assistant for National Security Affairs (Carlucci),1987-01-16,undated,Washington,aftermath,,,,Bush; Carlucci; Dobrynin; Mikhail S. Gorbachev; Vorontsov; Kampelman,,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d13,,,
frus1981-88v06-d15,15,FRUS 1981-1988 v06,historical-document,Telegram From the Embassy in the Soviet Union to the Department of State,1987-01-22,"January 22, 1987, 1337Z",Moscow,aftermath,,,,Ermarth; Vorontsov; Jack F. Matlock Jr.; Mikhail S. Gorbachev; Shevardnadze; Dobrynin; Ronald Reagan; Hartman,SDI; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d15,,,
frus1981-88v06-d16,16,FRUS 1981-1988 v06,historical-document,Memorandum From Secretary of State Shultz to President Reagan,1987-01-24,"January 24, 1987",Washington,aftermath,,,,George P. Shultz; Ronald Reagan; Ermarth; Parris; Simons; Thomas; Carlucci; Dubinin; Shevardnadze; Dobrynin; Mikhail S. Gorbachev; Vorontsov; Kampelman,SDI; INF; Strategic Arms,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d16,,,
frus1981-88v06-d17,17,FRUS 1981-1988 v06,historical-document,Telegram From the Delegation to the Nuclear and Space Talks to the Department of State,1987-02-09,"February 9, 1987, 1817Z",Geneva,aftermath,,,,C. Max Kampelman; Vorontsov; Maynard “Mike” Glitman; Ron Lehman; Mikhail S. Gorbachev; Ronald Reagan; Kenneth L. Adelman; Crowe; Frank Carlucci,SDI; INF; Strategic Arms,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d17,,,
frus1981-88v06-d18,18,FRUS 1981-1988 v06,historical-document,Memorandum From the President’s Assistant for National Security Affairs (Carlucci) to President Reagan,1987-02-14,"February 14, 1987",Washington,aftermath,,,,Carlucci; Ronald Reagan; Ermarth; Bush; Dubinin; Mikhail S. Gorbachev,SDI; Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d18,,,
frus1981-88v06-d19,19,FRUS 1981-1988 v06,historical-document,Notes of a Meeting,1987-02-24,"February 24, 1987, 1:15 p.m.",Washington,aftermath,,,,Carlucci; Vance; Mikhail S. Gorbachev; Ronald Reagan; George P. Shultz; Weinberger; Don Regan; Carter,,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d19,,,
frus1981-88v06-d20,20,FRUS 1981-1988 v06,historical-document,Memorandum to the File,1987-02-24,"February 24, 1987, 3 p.m.",Washington,aftermath,,,,Carlucci; Suzanne Massie; Ronald Reagan; Mikhail S. Gorbachev; George P. Shultz,Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d20,,,
frus1981-88v06-d21,21,FRUS 1981-1988 v06,historical-document,Notes of a Meeting,1987-02-25,"February 25, 1987, 1:30 p.m.",Washington,aftermath,,,,George P. Shultz; Carlucci; Don Regan; Armacost; Mikhail S. Gorbachev,SDI; INF; Strategic Arms; Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d21,,,
